"ROI_ID","CHAPTER_PRIMARY_CODE","ACCOUNT_CLASS_NAME"
2823045,"NRRO","Individual"
2830495,"NRRO","Individual"
2781631,"NRRO","Individual"
2784650,"NRRO","Individual"
2785434,"NRRO","Individual"
2773877,"NRRO","Individual"
2958452,"NRRO","Individual"
2830750,"NRRO","Individual"
2968691,"NRRO","Individual"
2877587,"NRRO","Individual"
2966406,"NRRO","Individual"
2823128,"NRRO","Individual"
2961340,"NRRO","Individual"
2874790,"NRRO","Individual"
2783066,"NRRO","Individual"
2769826,"NRRO","Individual"
2784015,"NRRO","Individual"
2963726,"NRRO","Individual"
2812170,"NRRO","Individual"
2964831,"NRRO","Individual"
2966497,"NRRO","Individual"
2829059,"NRRO","Individual"
2966612,"NRRO","Individual"
2784890,"NRRO","Individual"
2865954,"NRRO","Individual"
2824688,"NRRO","Individual"
2824746,"NRRO","Individual"
2961563,"NRRO","Individual"
2961605,"NRRO","Individual"
2771574,"NRRO","Individual"
2955896,"NRRO","Individual"
2962538,"NRRO","Individual"
2872620,"NRRO","Individual"
2872695,"NRRO","Individual"
2783298,"NRRO","Individual"
2965044,"NRRO","Individual"
2827210,"NRRO","Individual"
2867463,"NRRO","Individual"
2783371,"NRRO","Individual"
2966679,"NRRO","Individual"
2871515,"NRRO","Individual"
2919256,"NRRO","Individual"
2782134,"NRRO","Individual"
2782175,"NRRO","Individual"
2883890,"NRRO","Individual"
2971836,"NRRO","Individual"
2787836,"NRRO","Individual"
2831667,"NRRO","Individual"
2881266,"NRRO","Individual"
2972354,"NRRO","Individual"
2832186,"NRRO","Individual"
2890192,"NRRO","Individual"
2887388,"NRRO","Individual"
2835577,"NRRO","Individual"
2832699,"NRRO","Individual"
2925881,"NRRO","Individual"
2831030,"NRRO","Individual"
2831048,"NRRO","Individual"
2969244,"NRRO","Individual"
2884179,"NRRO","Individual"
2831725,"NRRO","Individual"
2831758,"NRRO","Individual"
2887891,"NRRO","Individual"
2841138,"NRRO","Individual"
2970614,"NRRO","Individual"
3003019,"NRRO","Individual"
2833846,"NRRO","Individual"
2836120,"NRRO","Individual"
2831493,"NRRO","Individual"
2881100,"NRRO","Individual"
2836377,"NRRO","Individual"
2771491,"NRRO","Individual"
2926681,"NRRO","Individual"
2830776,"NRRO","Individual"
2931442,"NRRO","Individual"
2972826,"NRRO","Individual"
2831287,"NRRO","Individual"
2833382,"NRRO","Individual"
100314848,"NRRO","Individual"
2837391,"NRRO","Individual"
2890275,"NRRO","Individual"
2834471,"NRRO","Individual"
2839223,"NRRO","Individual"
4258059,"NRRO","Individual"
4258554,"NRRO","Individual"
4258638,"NRRO","Individual"
4198016,"NRRO","Individual"
4253092,"NRRO","Individual"
4199931,"NRRO","Individual"
4200218,"NRRO","Individual"
4204236,"NRRO","Individual"
4395059,"NRRO","Individual"
4347415,"NRRO","Individual"
4257168,"NRRO","Individual"
4204376,"NRRO","Individual"
4255147,"NRRO","Individual"
4255295,"NRRO","Individual"
4350161,"NRRO","Individual"
4211272,"NRRO","Individual"
4342374,"NRRO","Individual"
4196101,"NRRO","Individual"
4267696,"NRRO","Individual"
4250130,"NRRO","Individual"
4196317,"NRRO","Individual"
4200358,"NRRO","Individual"
4200531,"NRRO","Individual"
4395141,"NRRO","Individual"
4391504,"NRRO","Individual"
4265542,"NRRO","Individual"
4206215,"NRRO","Individual"
4200648,"NRRO","Individual"
4204582,"NRRO","Individual"
4350385,"NRRO","Individual"
4395455,"NRRO","Individual"
4211686,"NRRO","Individual"
4245742,"NRRO","Individual"
4208237,"NRRO","Individual"
4350682,"NRRO","Individual"
4198636,"NRRO","Individual"
4198891,"NRRO","Individual"
4202669,"NRRO","Individual"
4397311,"NRRO","Individual"
4268090,"NRRO","Individual"
4350302,"NRRO","Individual"
4350328,"NRRO","Individual"
4298915,"NRRO","Individual"
4302071,"NRRO","Individual"
4257671,"NRRO","Individual"
4216198,"NRRO","Individual"
4394953,"NRRO","Individual"
4256293,"NRRO","Individual"
4205472,"NRRO","Individual"
4205605,"NRRO","Individual"
